# Copyright (C) 1991-2013 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II 32-bit Version 13.0.1 Build 232 06/12/2013 Service Pack 1 SJ Web Edition
# File: /home/minhluu/Documents/altera_project/Lab21_DHT_I2C/DHT_I2C_WS2812_final.csv
# Generated on: Tue Jun 10 15:55:41 2025

Status,From,To,Assignment Name,Value,Enabled,Entity,Comment,Tag
Ok,,I2C_SDA,Location,PIN_K26,Yes,,,
Ok,,I2C_SCL,Location,PIN_M20,Yes,,,
Ok,,BTN[0],Location,PIN_C13,Yes,,,
Ok,,BTN[1],Location,PIN_N26,Yes,,,
Ok,,BTN[2],Location,PIN_P25,Yes,,,
Ok,,BTN[3],Location,PIN_AE14,Yes,,,
Ok,,clk,Location,PIN_N2,Yes,,,
Ok,,rst,Location,PIN_G26,Yes,,,
Ok,,BTN[4],Location,PIN_AF14,Yes,,,
Ok,,dht_io,Location,PIN_R24,Yes,,,
Ok,,LEDR[0],Location,PIN_AE23,Yes,,,
Ok,,LEDR[1],Location,PIN_AF23,Yes,,,
Ok,,LEDR[2],Location,PIN_AB21,Yes,,,
Ok,,LEDR[3],Location,PIN_AC22,Yes,,,
Ok,,LEDR[4],Location,PIN_AD22,Yes,,,
Ok,,LEDR[5],Location,PIN_AD23,Yes,,,
Ok,,LEDR[6],Location,PIN_AD21,Yes,,,
Ok,,LEDR[7],Location,PIN_AC21,Yes,,,
Ok,,LEDR[8],Location,PIN_AA14,Yes,,,
Ok,,LEDR[9],Location,PIN_Y13,Yes,,,
Ok,,LEDR[10],Location,PIN_AA13,Yes,,,
Ok,,LEDR[11],Location,PIN_AC14,Yes,,,
Ok,,LEDR[12],Location,PIN_AD15,Yes,,,
Ok,,LEDR[13],Location,PIN_AE15,Yes,,,
Ok,,LEDR[14],Location,PIN_AF13,Yes,,,
Ok,,LEDR[15],Location,PIN_AE13,Yes,,,
Ok,,LEDR[16],Location,PIN_AE12,Yes,,,
Ok,,LEDR[17],Location,PIN_AD12,Yes,,,
Ok,,LEDG[5],Location,PIN_U17,Yes,,,
Ok,,LEDG[6],Location,PIN_AA20,Yes,,,
Ok,,LEDG[7],Location,PIN_Y18,Yes,,,
Ok,,LEDG[8],Location,PIN_Y12,Yes,,,
Ok,,LEDG[0],Location,PIN_AE22,Yes,,,
Ok,,LEDG[1],Location,PIN_AF22,Yes,,,
Ok,,LEDG[2],Location,PIN_W19,Yes,,,
Ok,,LEDG[3],Location,PIN_V18,Yes,,,
Ok,,LEDG[4],Location,PIN_U18,Yes,,,
Ok,,data_out,Location,PIN_J22,Yes,,,
,<<new>>,<<new>>,<<new>>,,,,,
